releve,point,X_deduit_m,Y_deduit_m,Z_local_cote_m,source_XY,source_Z
Terrasse de gauche,P19,12.40655684215999,10.113973552002305,-0.61,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P20,12.40650305934575,10.11787041568737,-0.61,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P21,8.86248331985775,10.104428297648436,-0.6,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P22,8.905468935345288,6.046066773156639,-0.66,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P23,8.708734986378008,5.276195666658898,-0.68,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P24,7.2327660441604715,2.423497831058619,0.02,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P25,5.405222430780024,1.1350659765734012,0.0,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P26,3.3846576753752995,0.5043525236390408,0.04,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P27,3.060933836979509,0.4358523410762658,0.03,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P28,0.01298317135742445,0.32442988722939026,0.02,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Terrasse de gauche,P29,0.0,-0.0,0.0,Terrasse de gauche.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Terrasse de gauche.pdf p.2
Zone escalier,P00,0.0,-0.0,0.0,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P01,1.1999998147425677,-0.0,-0.19,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P02,2.345316251020108,0.4325610050223388,-0.41,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P03,2.4138159004329327,0.47703530112295495,-0.56,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P04,3.2218716946394963,2.7005695415375293,-0.62,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P05,3.375231378818255,3.1368228877747724,-0.55,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P06,3.423959202753546,3.237335412523357,-0.02,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P07,4.437789306238338,3.0666692254398398,0.15,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P08,4.324746417871427,2.3700921786120674,0.24,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P09,4.314954891182055,2.342338781535836,0.18,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P10,4.289583100356527,-0.05621017540751738,0.17,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P11,3.116369430870959,-0.9439507762542957,0.23,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P12,2.3895968505324015,-0.9203829900945873,0.35,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P13,2.2211795136692425,-0.8670470750782,0.47,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P14,1.1118440653562502,-0.8734435766082604,0.55,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P15,0.9857026503910687,-0.8612374085508974,0.7,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P16,-0.09649762946922663,-0.9260436908134976,0.79,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P17,-0.19513802744677497,-0.9420999889379055,0.92,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P18,-0.26104452274601425,0.06578092081613164,0.89,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
Zone escalier,P19,0.0,-0.0,0.0,Zone escalier.pdf p.1-2 (trace calibre par barre et intervalles des cotes),Zone escalier.pdf p.2
